order_id,mobile_number,order_date_time,sku_id,sku_count,total_amount,customer_id,customer_name,region,month
ORD-2025-0001,9123456781,2025-10-12 09:15:32,SKU-1001,2,7450.0,CUST-001,Aarav Mehta,West,2025-10
ORD-2025-0001,9123456781,2025-10-12 09:15:32,SKU-1004,1,7450.0,CUST-001,Aarav Mehta,West,2025-10
ORD-2025-0001,9123456781,2025-10-12 09:15:32,SKU-1010,3,7450.0,CUST-001,Aarav Mehta,West,2025-10
ORD-2025-0002,9123456781,2025-11-01 14:22:10,SKU-1002,1,5299.0,CUST-001,Aarav Mehta,West,2025-11
ORD-2025-0002,9123456781,2025-11-01 14:22:10,SKU-1007,2,5299.0,CUST-001,Aarav Mehta,West,2025-11
ORD-2025-0002,9123456781,2025-11-01 14:22:10,SKU-1011,1,5299.0,CUST-001,Aarav Mehta,West,2025-11
ORD-2025-0003,9123456782,2025-09-30 18:45:55,SKU-1003,4,8930.0,CUST-002,Neha Sharma,North,2025-09
ORD-2025-0003,9123456782,2025-09-30 18:45:55,SKU-1008,1,8930.0,CUST-002,Neha Sharma,North,2025-09
ORD-2025-0003,9123456782,2025-09-30 18:45:55,SKU-1010,2,8930.0,CUST-002,Neha Sharma,North,2025-09
ORD-2025-0003,9123456782,2025-09-30 18:45:55,SKU-1012,1,8930.0,CUST-002,Neha Sharma,North,2025-09
